id,original_title,cast,director,keywords,genres
228161,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,friendship|spaceship|space|alien|alien invasion,Fantasy|Comedy|Animation|Science Fiction|Family
286565,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,friendship|high school|teen|classmate|based on young adult book,Drama|Mystery|Romance
265208,Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,gambling|bodyguard|remake,Thriller|Crime|Drama
254320,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,dystopia,Thriller|Comedy|Drama|Romance|Science Fiction
258480,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,gay|new york|female nudity|chicago|sex,Romance|Drama
257211,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,intern|woman director,Comedy
253412,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,mountains|snow storm|hiking|snow|death,Adventure|Drama
274479,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,biography,Comedy|Drama
257088,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,undercover|undercover agent|extreme sports|fbi agent|3d,Action|Crime|Thriller
295964,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,london|cook|restaurant|diva|career,Drama
238615,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,lie|immortality|terminal illness|laboratory|cancer,Science Fiction|Mystery|Thriller
210860,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,based on novel|painting|debt|art dealer|stolen painting,Comedy|Adventure
306819,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,paris|denmark|copenhagen|artist|art,Drama
201088,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,terrorist|technology|anti hero|hacker|computer virus,Mystery|Crime|Action|Thriller|Drama
273481,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,mexico|cia|smoking|texas|fbi,Action|Crime|Drama|Mystery|Thriller
166424,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,teleportation|transformation|telekinesis|portal|marvel comic,Action|Adventure|Science Fiction
310131,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,witch|new england|17th century,Mystery|Horror
238713,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,spy|cia|undercover|arms dealer|disaster,Action|Comedy|Crime
256591,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,seduction|con man|femme fatale|deception|con artist,Romance|Comedy|Crime|Drama
249070,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,assassin|secret identity|intelligence|hitman|execution,Action|Crime|Thriller
205775,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,suicide|ocean|sea|hunger|shipwreck,Thriller|Drama|Adventure|Action|History
334074,Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,James McTeigue,new year's eve|fire|showdown|terrorist|embassy,Crime|Thriller|Action
312221,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,underdog|sport|spin off|underground fighting|motivational speaker,Drama
271718,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,alcohol|one-night stand,Comedy
333352,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,terrorist|drone|u.s. military|air force base|combat drone,Drama|Thriller|War
276907,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,biography|based on true story|gangster|twins,Crime|Thriller
284289,Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Jean-Baptiste LÃ©onetti,desert|hunting,Thriller
266647,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,flying|magic|fairy tale|peter pan|mermaid,Adventure|Family|Fantasy
347096,Mythica: The Darkspore,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,Anne K. Black,sword|magic|sorcery|necromancer|woman director,Action|Adventure|Fantasy
308369,Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Alfonso Gomez-Rejon,tattoo|high school|leukemia|friends|parody,Comedy|Drama
227973,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Steve Martino,based on comic strip|family|3d|charlie brown|snoopy,Adventure|Animation|Comedy|Family
321741,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,american football|biography|professional sports|sports injury|nfl,Drama
296100,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Jonathan Levine,male friendship|new york city|drug|christmas eve|childhood friend,Comedy
263472,Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Eli Roth,female nudity|sex|disc jockey|infidelity|rain,Drama|Horror|Thriller
228205,The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,"George Tillman, Jr.",based on novel|art student|cowboys|injury|bull riding,Romance|Drama
159824,Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Genndy Tartakovsky,transylvania|hotel|witch|technology|magic,Animation|Comedy|Family
333348,Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Jessie Nelson,big family|family relationships|family|woman director|christmas,Family|Comedy
285783,The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Robert Zemeckis,1970s|skyscraper|based on true story|tightrope|planning,Adventure|Drama|Thriller
290764,Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,Daniel Benmayor,chinese mafia|parkour|new york city|loan shark|young adult,Action|Crime|Drama
296099,Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,John Francis Daley|Jonathan M. Goldstein,route 66|grand canyon|cow|vacation|road trip,Adventure|Comedy
243688,Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Gil Kenan,poltergeist|haunted house|remake|duringcreditsstinger,Horror|Thriller
287424,Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,Henry Hobson,post-apocalyptic|dystopia|zombies,Horror
301875,Equals,Kristen Stewart|Nicholas Hoult|Guy Pearce|Jacki Weaver|Bel Powley,Drake Doremus,illustrator|sex scene|near future|infected|emotions,Drama|Romance|Science Fiction
181283,Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,Daniel Espinosa,murder|serial killer|military|chili|soviet union,Crime|Thriller
328425,The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Joel Edgerton,detective|stalker|gift|bully|psychological thriller,Thriller|Mystery
274167,Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Sean Anders,daddys home,Comedy
370687,Mythica: The Necromancer,Melanie Stone|Adam Johnson|Kevin Sorbo|Nicola Posener|Jake Stormoen,A. Todd Smith,sword|magic|sorcery|necromancer,Fantasy|Action|Adventure
307663,Vice,Ambyr Childers|Thomas Jane|Bryan Greenberg|Bruce Willis|Johnathon Schaech,Brian A Miller,artificial intelligence|android|self-awareness|mercenary|virtual reality,Thriller|Science Fiction|Action|Adventure
309809,The Little Prince,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,Mark Osborne,philosophy|utopia|airplane|adventure|dystopia,Adventure|Animation|Fantasy
258509,Alvin and the Chipmunks: The Road Chip,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,Walt Becker,chipmunk|cgi|talking animal|aftercreditsstinger|duringcreditsstinger,Adventure|Animation|Comedy|Family
298382,The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Jocelyn Moorhouse,based on novel|australia|dressmaker|hometown|woman director,Drama
272693,The DUFF,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,Ari Sandel,high school|teenager|popularity|high school senior|teen comedy,Romance|Comedy
283445,Sinister 2,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,Ciaran Foy,haunted house|sequel|twins,Horror
256961,Paul Blart: Mall Cop 2,Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough,Andy Fickman,shopping mall|las vegas nevada|security guard,Action|Adventure|Comedy|Family
326359,Frozen Fever,Kristen Bell|Idina Menzel|Jonathan Groff|Josh Gad|Chris Williams,Chris Buck|Jennifer Lee,sister sister relationship|birthday|song|birthday party|flu,Adventure|Animation|Family
254302,High-Rise,Tom Hiddleston|Sienna Miller|Jeremy Irons|Luke Evans|Elisabeth Moss,Ben Wheatley,skyscraper|high rise,Action|Drama|Science Fiction
241251,The Boy Next Door,Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth,Rob Cohen,male nudity|female nudity|sex|adultery|infidelity,Thriller
292040,Spooks: The Greater Good,Peter Firth|Kit Harington|Jennifer Ehle|Lara Pulver|Elyes Gabel,Bharat Nalluri,corruption|terrorist|explosive|police|kidnapping,Thriller|Action
188222,Entourage,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,Doug Ellin,friendship|hollywood|movie star|entourage,Comedy
252838,The Wedding Ringer,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,Jeremy Garelick,male friendship|impersonator|wedding|lying|best man,Comedy
273477,Scouts Guide to the Zombie Apocalypse,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,Christopher B. Landon,female nudity|shotgun|nudity|strip club|party,Comedy|Horror
298312,The Visit,Olivia DeJonge|Ed Oxenbould|Kathryn Hahn|Benjamin Kanes|Deanna Dunagan,M. Night Shyamalan,rap|pennsylvania|brother sister relationship|farm|grandparents,Horror|Thriller
261023,Black Mass,Johnny Depp|Joel Edgerton|Benedict Cumberbatch|Dakota Johnson|Kevin Bacon,Scott Cooper,boston|based on true story|organized crime,Crime|Drama
336004,Heist,Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano,Scott Mann,casino|robbery|bus hijacking|heist,Crime|Action|Thriller
287903,Krampus,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,Michael Dougherty,fire|winter|santa claus|snow storm|christmas tree,Horror|Comedy|Fantasy
182560,Dark Places,Charlize Theron|Nicholas Hoult|Christina Hendricks|ChloÃ« Grace Moretz|Tye Sheridan,Gilles Paquet-Brenner,prison|based on novel|brother sister relationship|satanism|witness,Drama|Mystery|Thriller
192141,No Escape,Owen Wilson|Lake Bell|Pierce Brosnan|Sterling Jerins|Spencer Garrett,John Erick Dowdle,coup|american|family|foreign,Action|Thriller
308639,Dope,Shameik Moore|Kiersey Clemons|Tony Revolori|ZoÃ« Kravitz|Chanel Iman,Rick Famuyiwa,california|hip-hop|harvard university|geek|coming of age,Crime|Drama|Comedy
261392,American Ultra,Jesse Eisenberg|Kristen Stewart|Topher Grace|Connie Britton|Walton Goggins,Nima Nourizadeh,memory loss|stoner|black ops,Comedy|Action
304357,Woman in Gold,Helen Mirren|Ryan Reynolds|Tatiana Maslany|Katie Holmes|Max Irons,Simon Curtis,nazis|art|stolen painting,Drama
297291,The Scorpion King: The Lost Throne,Victor Webster|Ellen Hollman|Barry Bostwick|Will Kemp|M. Emmet Walsh,Mike Elliott,magic|fantasy|steampunk|dragon,Action|Fantasy|Adventure
266294,Sisters,Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph,Jason Moore,sister sister relationship|childhood home,Comedy
227719,Project Almanac,Jonny Weston|Virginia Gardner|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista,Dean Israelite,time travel|time machine|teenager|found footage,Science Fiction|Thriller
86828,Absolutely Anything,Simon Pegg|Kate Beckinsale|Rob Riggle|Sanjeev Bhaskar|Joanna Lumley,Terry Jones,london|alien|teacher|talking animal|super powers,Comedy|Science Fiction
287948,The Transporter Refueled,Ed Skrein|Ray Stevenson|Loan Chabanol|Gabriella Wright|Tatjana PajkoviÄ‡,Camille Delamarre,transporter|sequel|suspense|car|bank heist,Thriller|Action|Crime
201085,Crimson Peak,Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver,Guillermo del Toro,haunted house|mining|murder|spitting blood|gothic,Mystery|Thriller|Fantasy|Horror|Drama
277355,Everly,Salma Hayek|Hiroyuki Watanabe|Jennifer Blanc|Togo Igawa|Caroline Chikezie,Joe Lynch,assassin|mob boss,Thriller|Action
264999,Magic Mike XXL,Channing Tatum|Matt Bomer|Joe Manganiello|Kevin Nash|Adam RodrÃ­guez,Gregory Jacobs,male friendship|strip club|road trip|strip tease|strip,Comedy|Drama|Music
146301,Paranormal Activity: The Ghost Dimension,Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig,Gregory Plotkin,terror|supernatural|sequel|demon|found footage,Horror|Thriller
223485,Slow West,Michael Fassbender|Kodi Smit-McPhee|Ben Mendelsohn|Caren Pistorius|Rory McCann,John Maclean,fire|bounty hunter|shotgun|horseback riding|horse,Romance|Thriller|Western
294016,Trumbo,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,Jay Roach,screenwriter|communist|biography|film history|hollywood,Drama
290751,Secret in Their Eyes,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith,Billy Ray,fbi|missing child,Crime|Drama|Mystery
309245,Mistress America,Greta Gerwig|Lola Kirke|Charlie Gillette|Dean Wareham|Heather Lind,Noah Baumbach,comedy,Comedy
228165,The SpongeBob Movie: Sponge Out of Water,Tom Kenny|Bill Fagerbakke|Rodger Bumpass|Clancy Brown|Carolyn Lawrence,Paul Tibbitt,ocean|sea|star|water|comedy,Family|Animation
245706,True Story,Jonah Hill|James Franco|Felicity Jones|Maria Dizzia|Ethan Suplee,Rupert Goold,,Crime|Drama|Mystery
272878,Max,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,Boaz Yakin,afghanistan|war|based on true story|rescue|betrayal,Adventure|Drama|Family
263109,Shaun the Sheep Movie,Justin Fletcher|Omid Djalili|Richard Webber|Kate Harbour|Tim Hands,Mark Burton|Richard Starzack,countryside|sheep|based on tv series|memory loss|hospital,Family|Animation|Comedy|Adventure
157827,Louder Than Bombs,Gabriel Byrne|Isabelle Huppert|Jesse Eisenberg|Devin Druid|Amy Ryan,Joachim Trier,usa|brother brother relationship|father-son relationship|car accident|death of mother,Drama
321751,A Perfect Day,Olga Kurylenko|Benicio del Toro|Tim Robbins|MÃ©lanie Thierry|Fedja Stukan,Fernando LeÃ³n de Aranoa,road movie,Comedy|Drama
266396,The Gunman,Sean Penn|Jasmine Trinca|Javier Bardem|Ray Winstone|Mark Rylance,Pierre Morel,assassin|hitman,Action|Drama|Crime
277685,Unfriended,Shelley Hennig|Moses Jacob Storm|Renee Olstead|William Peltz|Jacob Wysocki,Levan Gabriadze,computer|bullying|revenge|internet|violence,Horror|Thriller
268920,Hot Pursuit,Reese Witherspoon|SofÃ­a Vergara|Michael Mosley|John Carroll Lynch|Richard T. Jones,Anne Fletcher,texas|prisoner|cop|drug cartel|on the run,Action|Crime|Comedy
280092,Insidious: Chapter 3,Dermot Mulroney|Stefanie Scott|Lin Shaye|Leigh Whannell|Angus Sampson,Leigh Whannell,sequel,Drama|Horror|Thriller
193687,Z for Zachariah,Margot Robbie|Chiwetel Ejiofor|Chris Pine,Craig Zobel,love triangle|based on novel|jealousy|radiation|tractor,Drama|Science Fiction|Thriller
300803,Dragonheart 3: The Sorcerer's Curse,Julian Morris|Tamzin Merchant|Jassa Ahluwalia|Ben Kingsley|Jonjo O'Neill,Colin Teague,magic|wall|druid|knight|dragon,Action|Adventure|Fantasy
328589,The Lady in the Van,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,Nicholas Hytner,based on novel|biography|based on true story,Comedy|Drama
228066,Victor Frankenstein,James McAvoy|Daniel Radcliffe|Jessica Brown Findlay|Andrew Scott|Charles Dance,Paul McGuigan,london|frankenstein|human experiment|reanimated corpse|frankenstein's monster,Drama|Science Fiction|Thriller
378373,Brothers of the Wind,Manuel Camacho|Jean Reno|Tobias Moretti|Eva Kuen,Gerado Olivares|Otmar Penker,eagle|learning to fly|eagle's feather|father son conflict|bird's nest,Adventure|Drama|Family
291270,Anomalisa,Jennifer Jason Leigh|David Thewlis|Tom Noonan,Duke Johnson|Charlie Kaufman,sex|depression|existentialism,Animation|Comedy|Drama|Romance
294963,Bone Tomahawk,Kurt Russell|Richard Jenkins|Matthew Fox|Lili Simmons|Sean Young,S. Craig Zahler,poison|prisoner|murder|rifle|gore,Horror|Western|Adventure|Drama
